SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,001997,加:经营调整其他项目,-231000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,001999,营运资金变动前经营溢利,42928000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002002,应收帐款减少,-2369000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002003,应收关联方款项(增加)减少,264000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),-1450000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002005,应付关联方款项增加(减少),-189000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002006,营运资本变动其他项目,-12570000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),-460000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002009,递延收入(增加)减少,16000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,002999,经营产生现金,26170000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,003999,经营业务现金净额,26170000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005003,存款减少(增加),178831000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005005,购建固定资产,8286000000
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,005007,购建无形资产及其他资产,107000000
