SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011002,应付票据,8831000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),1603000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),3108000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011007,递延收入(流动),306000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011009,预收款项,14627000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,10259000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,76451000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,153804000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,330308000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020001,长期贷款,14223000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,2725000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020004,应付关联方款项(非流动),77000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),5040000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),681000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020007,可转换票据及债券,8144000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),34990000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020997,非流动负债其他项目,1820000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,67700000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004025999,总负债,144151000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,18982000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004028999,净资产,262608000000.0,2023-12-31 00:00:00
